id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight
26	Altmetric	<table><tr><td>Data source:</td><td>Altmetric Details Page API</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	-0.3064	0.4698	4	5	5	5000
5	BASE	<table><tr><td>Data source:</td><td>BASE</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	1.0093	-0.2184	4	5	5	4860
18	BibSonomy	<table><tr><td>Data source:</td><td>BibSonomy</td></tr><tr><td>Category:</td><td>Collaborative platform</td></tr></table>	-0.5176	-0.5671	1	0	0	9926
29	Cobaltmetrics	<table><tr><td>Data source:</td><td>Cobaltmetrics</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	0.2434	-0.1422	4	2	2	423
12	COCI	<table><tr><td>Data source:</td><td>COCI</td></tr><tr><td>Category:</td><td>Other</td></tr></table>	0.5241	-0.1011	5	0	0	3131
15	CORE	<table><tr><td>Data source:</td><td>CORE</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	0.7562	-0.5361	4	6	6	5755
39	Crossref	<table><tr><td>Data source:</td><td>Crossref</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	-0.5849	-0.0082	4	1	1	4246
2	CED	<table><tr><td>Data source:</td><td>Crossref Event Data</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	0.5497	0.3741	4	5	5	10193
6	DataCite	<table><tr><td>Data source:</td><td>DataCite</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	-0.0564	1.1192	4	4	4	12965
17	dblp	<table><tr><td>Data source:</td><td>dblp Computer Science Bibliography</td></tr><tr><td>Category:</td><td>Collaborative platform</td></tr></table>	0.4133	-0.5517	1	0	0	6342
13	Dimensions	<table><tr><td>Data source:</td><td>Dimensions Metrics API</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	0.5241	-0.1011	4	3	3	5922
0	DOAJ	<table><tr><td>Data source:</td><td>DOAJ</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	0.1426	0.1639	4	3	3	7929
1	dissemin	<table><tr><td>Data source:</td><td>dissemin</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	-0.9767	0.3353	4	2	2	12701
19	Europe PMC	<table><tr><td>Data source:</td><td>Europe PMC</td></tr><tr><td>Category:</td><td>Data aggregator</td></tr></table>	0.1216	-0.6362	4	6	6	15035
